Date;Eurozone;US;China;Japan;UK;Australia
30/06/2015;0,00764000;0,02353000;0,03620000;0,00465000;0,02024000;0,03010000
29/05/2015;0,00487000;0,02121000;0,03600000;0,00394000;0,01813000;0,02730000
30/04/2015;0,00366000;0,02032000;0,03440000;0,00342000;0,01834000;0,02646000
31/03/2015;0,00180000;0,01923000;0,03630000;0,00405000;0,01576000;0,02319000
27/02/2015;0,00328000;0,01993000;0,03370000;0,00335000;0,01796000;0,02459000
30/01/2015;0,00302000;0,01641000;0,03510000;0,00278000;0,01330000;0,02443000
31/12/2014;0,00541000;0,02171000;0,03650000;0,00329000;0,01756000;0,02740000
28/11/2014;0,00700000;0,02164000;0,03550000;0,00421000;0,01926000;0,03026000
31/10/2014;0,00841000;0,02335000;0,03830000;0,00458000;0,02247000;0,03289000
30/09/2014;0,00947000;0,02489000;0,04070000;0,00531000;0,02425000;0,03480000
29/08/2014;0,00890000;0,02343000;0,04260000;0,00496000;0,02368000;0,03293000
31/07/2014;0,01155000;0,02558000;0,04320000;0,00538000;0,02602000;0,03506000
30/06/2014;0,01245000;0,02530000;0,04090000;0,00566000;0,02670000;0,03542000
30/05/2014;0,01358000;0,02476000;0,04140000;0,00578000;0,02570000;0,03655000
30/04/2014;0,01469000;0,02646000;0,04380000;0,00627000;0,02663000;0,03950000
31/03/2014;0,01566000;0,02718000;0,04510000;0,00642000;0,02736000;0,04083000
28/02/2014;0,01624000;0,02648000;0,04400000;0,00586000;0,02719000;0,04019000
31/01/2014;0,01659000;0,02644000;0,04530000;0,00622000;0,02707000;0,03999000
31/12/2013;0,01929000;0,03028000;0,04620000;0,00741000;0,03022000;0,04235000
29/11/2013;0,01693000;0,02744000;0,04450000;0,00605000;0,02769000;0,04222000
31/10/2013;0,01674000;0,02554000;0,04220000;0,00595000;0,02617000;0,04024000
30/09/2013;0,01779000;0,02610000;0,04070000;0,00686000;0,02721000;0,03812000
30/08/2013;0,01856000;0,02784000;0,04040000;0,00720000;0,02772000;0,03896000
31/07/2013;0,01670000;0,02576000;0,03730000;0,00802000;0,02358000;0,03724000
28/06/2013;0,01728000;0,02486000;0,03610000;0,00853000;0,02443000;0,03760000
