Date;Open Price;High Price;Low Price;Last Price;EUREUA SW Equity (EUR) - Volume
30/09/2015;58,72;61,13;56,3;58;177087
31/08/2015;66,53;67,25;57,15;60,33;172223
31/07/2015;66,02;69,91;63,36;65,99;84181
30/06/2015;68,35;68,43;64,68;65,32;98210
29/05/2015;67;69,75;65,99;68,3;58535
30/04/2015;67,51;70,11;67,09;67,21;38174
31/03/2015;65,56;68,14;65,03;67,15;62502
27/02/2015;61,32;65,96;61,32;65,96;94502
30/01/2015;57,52;63,17;55,98;61,5;96211
31/12/2014;58,5;59,31;54,13;57,8;82721
28/11/2014;56,91;58,92;56,52;58,67;25899
31/10/2014;57,97;57,97;51,66;56,83;131796
30/09/2014;57,98;58,91;57,64;57,77;41604
29/08/2014;58,32;58,38;55,69;57,52;92622
31/07/2014;59,97;60,78;58,59;59,04;83262
30/06/2014;59,93;60,91;59,54;59,68;404033
30/05/2014;58,13;60,03;57,84;60,03;27372
30/04/2014;57,75;58,24;56,46;58,2;32620
31/03/2014;56,55;57,87;55,11;57,51;19360
28/02/2014;54,65;57,85;54,24;57,85;44378
31/01/2014;56,67;58,09;54,55;55;72647
31/12/2013;56,02;56,51;53,37;56,15;42602
29/11/2013;55,48;56,09;55;56,07;52050
31/10/2013;53,31;55,35;52,53;55,19;33682
30/09/2013;51,88;54,21;51,6;53,2;11796
30/08/2013;52,05;52,87;51,02;51,02;56468
31/07/2013;50,44;52,98;49,93;51,28;6253
28/06/2013;52,19;52,56;48,5;50,03;73164
31/05/2013;51,79;54,05;51,79;52,78;69455
30/04/2013;51,25;51,95;49,22;51,94;21523
29/03/2013;49,57;51,58;49,57;50,9;16701
28/02/2013;49,68;49,7;48,98;49,33;14093
31/01/2013;49,59;50,4;49,54;50,4;15844
31/12/2012;48,13;48,91;47,89;48,63;13531
30/11/2012;47,14;47,78;45,92;47,77;17734
31/10/2012;47,08;47,77;46,47;46,85;39662
28/09/2012;46,35;47,68;45,93;46,44;78145
31/08/2012;45,56;47,28;45,56;46,01;2195
31/07/2012;44,97;46,38;44,38;45,26;2070
29/06/2012;42,18;44,26;41,34;43,95;8434
31/05/2012;45,92;45,92;42,08;42,49;11984
