Date;Open Price;High Price;Low Price;Last Price;UBU5 GY Equity (EUR) - Volume
30/11/2020;61,11;68,64;61,11;66,88;205097
30/10/2020;62;64,43;59,92;60,5;86078
30/09/2020;62,08;64,08;60,06;61,86;114381
31/08/2020;60,67;63,44;60,6;62,16;52519
31/07/2020;62,18;63,69;60,46;60,64;57680
30/06/2020;63,18;67,54;59,99;61,53;185019
29/05/2020;60,19;64,58;58,56;62,51;236200
30/04/2020;55;64,64;53,85;62,61;207068
31/03/2020;66,68;69,08;48,62;57,34;222928
28/02/2020;73,31;77,84;64,9;65,83;85973
31/01/2020;75,28;77,28;74,34;74,34;46817
31/12/2019;74,7;76,2;72,71;75,42;40380
29/11/2019;71,59;74,88;71,58;74,55;26860
31/10/2019;72,5;72,5;69,29;71,14;38539
30/09/2019;68,85;72,25;68,81;72,25;32736
30/08/2019;70,56;71,02;65,9;68,98;59335
31/07/2019;69,79;71,9;69,41;70,73;19841
28/06/2019;65,25;69,42;65,25;68,51;27324
31/05/2019;69,62;69,76;65,7;65,97;64944
30/04/2019;68,11;69,82;67,82;69,58;17306
29/03/2019;66,55;67,56;65,5;67,44;12649
28/02/2019;63,95;66,9;63,71;66,27;26500
31/01/2019;59,43;64,48;59,17;63,54;23181
31/12/2018;68,17;68,17;58,42;60,13;27154
30/11/2018;64,87;67,35;64,01;66,54;34382
31/10/2018;67,14;67,89;63,25;65,34;128797
28/09/2018;66,51;66,94;65,78;66,58;88657
31/08/2018;64,94;67,11;64,51;66,13;64497
31/07/2018;62,81;65,78;62,81;64,86;73530
29/06/2018;63,15;64,73;62,7;63,725;87807
31/05/2018;60,82;63,64;59,49;63,08;41997
30/04/2018;58,18;61,28;57,78;61,15;86893
30/03/2018;61,31;62,31;57,55;59,09;41278
28/02/2018;63,36;63,36;58,07;61,71;35143
31/01/2018;63,83;65,67;63,15;63,17;42139
29/12/2017;63,28;65,25;62,76;64,28;40230
30/11/2017;63,03;63,92;61,4;63,4;53828
31/10/2017;61,86;63,78;61,85;63,11;32990
29/09/2017;59,64;61,78;57,96;61,36;50450
31/08/2017;60,55;60,91;57,69;59,25;30958
31/07/2017;62,43;63,31;60,39;60,39;26115
30/06/2017;62,08;64,2;61,97;62,08;36982
31/05/2017;63,82;64,13;61,41;61,84;154822
28/04/2017;65,38;65,73;63,83;63,87;26810
31/03/2017;66,92;67,7;63,1;65,29;114082
28/02/2017;62,94;66,82;62,22;66,07;139840
31/01/2017;64,9;66,33;62,39;62,39;114993
30/12/2016;62,62;66,6;61,73;65,01;43550
30/11/2016;57,58;62,87;55,91;62,87;55326
31/10/2016;57,27;58,49;56,73;57,87;79892
30/09/2016;57,71;58,04;55,69;57,09;36393
31/08/2016;57,63;58,09;56,29;57,55;43944
29/07/2016;56,82;59,38;56,15;57,24;49432
30/06/2016;56,1;56,32;54,32;56,32;22955
31/05/2016;53,85;56,34;52,8;55,97;7008
29/04/2016;53,14;55,15;52,5;53,37;5914
31/03/2016;52,49;54,26;52,32;53,41;15632
29/02/2016;51,96;52,92;47,06;52,92;35701
29/01/2016;54,59;55,6;49,71;51,9;23433
31/12/2015;58,16;58,69;53,05;55,96;111911
30/11/2015;55,6;58,17;55,59;58,13;43332
30/10/2015;51,12;56,48;50,07;55,72;174013
30/09/2015;50,13;51,95;49,39;50,56;111180
31/08/2015;56,04;56,73;48,15;51,67;73661
31/07/2015;56,05;58,3;55,06;55,93;53447
30/06/2015;58,4;58,4;54,72;55,41;24174
29/05/2015;56,91;58,58;55,01;57,69;18449
30/04/2015;57,27;59,3;56,36;56,43;70079
31/03/2015;56,32;58,47;55,53;57,62;79656
27/02/2015;53,13;56,44;53,12;56,27;89347
30/01/2015;52,55;56,48;51,94;53,4;105667
31/12/2014;50,98;52,85;48,88;52,78;76767
28/11/2014;49,84;51,46;49,38;51,19;78418
31/10/2014;48,51;49,66;44,61;49,6;123348
30/09/2014;47,26;48,91;47,2;48,73;35373
29/08/2014;45,05;47,18;44,76;47,18;7387
31/07/2014;45,25;46,56;45,25;45,69;9289
30/06/2014;44,5;45,77;44,4;45,16;13266
30/05/2014;42,93;44,29;42,5;44,29;15375
30/04/2014;42,92;43,46;41,72;42,91;42319
31/03/2014;41,37;42,73;41,07;42,73;10312
28/02/2014;41,01;41,79;39,99;41,77;1562
31/01/2014;42,1;42,64;40,92;41,07;10472
31/12/2013;41,86;42,02;40,53;42,02;97
29/11/2013;40,97;42,24;40,92;41,8;27721
31/10/2013;39,25;40,81;38,5;40,81;615
30/09/2013;39,59;40,24;38,99;38,99;259
30/08/2013;40,95;40,95;38,76;39,08;4700
31/07/2013;39,87;41,65;39,82;40,67;3030
28/06/2013;39,93;40,3;38,49;40,06;6536
31/05/2013;39;41,77;39;40,97;3
30/04/2013;38,97;39,18;37,78;38,74;44
29/03/2013;36,96;38,8;36,96;38,8;50
28/02/2013;34,85;36,79;34,85;36,79;7000
31/01/2013;34,75;35,7;34,75;34,81;40
31/12/2012;33,86;34,71;33,61;33,77;4119
30/11/2012;34,74;35,03;33,22;33,89;2019
31/10/2012;35,05;35,16;34,22;34,23;151
28/09/2012;34,72;35,09;34,5;34,75;52
31/08/2012;35,08;35,63;34,59;34,71;540
31/07/2012;34,06;35,33;34,06;35,08;
29/06/2012;32,33;33,54;31,71;33,54;
31/05/2012;32,96;32,96;32,96;32,96;
