Date;Open Price;High Price;Low Price;Last Price;SXR8 GY Equity (EUR) - Volume
31/03/2015;172,83;180,85;169,78;177,56;1190000
27/02/2015;161,7;173,06;159,6;172,41;667807
30/01/2015;157;169,53;153,71;162,46;1100000
31/12/2014;151,16;157,19;143,36;156,91;851822
28/11/2014;146,89;152,46;145,18;152,17;564577
31/10/2014;142,09;148,09;129,92;146,42;838001
30/09/2014;138,63;143,6;138,21;143,1;770577
29/08/2014;131,15;138,45;128,56;138,45;459379
31/07/2014;129,94;134,1;129,92;131,73;104434
30/06/2014;127,96;131,2;127,43;129,87;169215
30/05/2014;122,88;127,64;120,75;127,5;224228
30/04/2014;122,77;124,78;118,43;122,31;71774
31/03/2014;120,56;123,46;119,62;122,36;102609
28/02/2014;118,99;122,08;115,95;121,85;19693
31/01/2014;121,5;122,9;116,99;118,99;68694
31/12/2013;119,18;120,54;115,78;120,35;33085
29/11/2013;116,57;120,21;116,49;119,56;13865
31/10/2013;111,69;116,32;109,32;116,32;23169
30/09/2013;111,73;114,42;111,3;111,3;8583
30/08/2013;114,17;115,45;109,21;110,52;45455
31/07/2013;110,48;115,44;110,45;113,96;6051
28/06/2013;111,36;111,99;106,35;110,55;21283
31/05/2013;107,08;116,1;107,08;113,78;19405
30/04/2013;108,35;108,9;105,19;107,52;53012
29/03/2013;103,46;108,55;103,13;108,5;11289
28/02/2013;97,67;103,01;97,67;103,01;95633
31/01/2013;96,66;99,38;96,39;97,63;362944
31/12/2012;95,73;97,53;94,04;94,43;43066
30/11/2012;95,97;97,99;93,34;95,92;41166
31/10/2012;98,63;99,23;95,62;95,62;38062
28/09/2012;98,41;99,52;97,9;98,39;43214
31/08/2012;98,5;101,1;98,21;98,53;73340
31/07/2012;94,48;99,41;94,48;98,74;65378
29/06/2012;90,9;93,8;89,17;93,8;17025
31/05/2012;93,23;93,23;89,59;92,45;40845
